application_id,application_channel,product_applied,requested_limit,city_tier,state,residence_type,residence_stability,existing_bank_rel,num_existing_products,preferred_lang,employer_category,employment_type,years_in_current_job,total_work_exp_years,gross_annual_income,net_monthly_income,income_proof_type,income_verified_flag,salary_account_flag,avg_monthly_credit,income_stability_score,employer_stability_score,bureau_score,bureau_score_vintage,num_active_loans,num_active_cards,num_closed_loans,total_active_balance,total_credit_limit_bureau,bureau_utilization,credit_age_oldest,credit_age_newest,credit_age_avg,num_inquiries_1m,num_inquiries_3m,num_inquiries_6m,dpd_30_ever,dpd_60_ever,dpd_90_ever,written_off_ever,settled_ever,num_delinquent_now,home_loan_flag,home_loan_emi,personal_loan_flag,personal_loan_emi,auto_loan_flag,auto_loan_emi,total_existing_emi,foir,num_credit_cards_existing,total_card_limit_existing,banking_vintage_months,avg_monthly_balance,min_monthly_balance,balance_stability,fixed_deposit_flag,fd_amount,investment_flag,premium_banking_flag,internal_app_score,bureau_score_segment,debt_to_income_ratio,repayment_capacity,leverage_ratio,credit_to_income,payment_track_score,relationship_score,fraud_risk_score,policy_override_flag,approved,credit_limit_assigned
300030,DSA,Classic,75000,Tier1,Others,Rented,86,0,0,Hindi,Large-Private,Professional,1.6,2.9000000000000004,4157309,235701,ITR,1,1,233560,44.5,41.1,761,33,5,1,2,4367865,594780,1.5,164,18,91,3,6,7,1,0,0,0,1,2,1,64065,1,14498,0,0,78563,0.333,4,470859,0,0,0,0.0,0,0,0,0,356.4,Good,1.051,0.667,1.051,0.143,0.548,0.171,9.9,0,1,280000
300031,DSA,Gold,150000,Tier3,GJ,Rented,11,1,2,English,Large-Private,Self-Employed,3.9,5.9,3666014,213347,ITR,1,1,214059,78.6,78.0,706,12,0,3,1,4117372,106649,1.5,96,26,61,1,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4,434958,77,302504,185645,0.691,0,0,0,0,210.1,Fair,1.123,1.0,1.123,0.029,0.89,0.744,1.8,0,1,170000
300032,Online,Signature,25000,Tier2,WB,Owned,106,1,3,Regional,Self-Employed,Salaried,1.8,4.8,1991557,123782,ITR,1,1,112447,46.4,60.5,790,43,5,0,4,4171367,320753,1.5,68,25,46,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,480064,98,135849,81042,0.552,0,0,0,0,247.9,Excellent,2.095,1.0,2.095,0.161,0.568,0.526,26.6,1,1,275000
300033,DSA,Classic,75000,Tier2,Others,Rented,108,1,4,Hindi,Large-Private,Business-Owner,6.4,7.1000000000000005,1995081,122883,Form16,1,1,115033,60.7,56.3,503,30,2,3,0,589015,1826213,0.323,155,12,83,2,2,4,0,0,0,0,0,2,1,56541,0,0,0,0,56541,0.46,4,330890,82,147757,71601,0.62,0,0,0,1,577.7,Very Poor,0.295,0.54,0.295,0.915,0.832,0.615,7.9,0,0,0
300034,DSA,Gold,25000,Tier2,RJ,Rented,90,1,4,Hindi,PSU,Salaried,3.9,4.1,3820201,209680,ITR,1,0,2024,57.5,64.7,779,42,3,4,1,3247406,1092355,1.5,47,28,37,3,4,8,0,1,0,0,0,0,0,0,0,0,1,20196,20196,0.096,1,272407,35,361181,176689,0.452,0,0,0,1,270.6,Good,0.85,0.904,0.85,0.286,0.694,0.725,10.2,0,1,10000
300035,Branch,Classic,25000,Tier1,GJ,Owned,40,1,2,Hindi,Large-Private,Salaried,1.7,1.9,3704126,209630,None,0,1,196959,58.9,39.7,394,21,2,2,1,3913192,1870529,1.5,122,32,77,0,2,2,1,0,0,0,0,0,1,65285,0,0,0,0,65285,0.311,2,165475,57,342002,108649,0.752,0,0,0,0,882.3,Very Poor,1.056,0.689,1.056,0.505,0.2,0.452,5.6,0,1,10000
300036,DSA,Platinum,200000,Tier1,Others,Rented,70,1,3,English,Large-Private,Business-Owner,0.3,2.1,957757,55139,ITR,1,1,49671,74.8,94.9,312,25,6,2,6,3302623,1962269,1.5,75,22,48,3,3,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,66700,56,392964,188781,0.792,1,94116,0,0,956.5,Very Poor,3.448,1.0,3.448,2.049,0.052,0.653,6.1,0,1,90000
300037,DSA,Platinum,50000,Tier2,DL,Rented,0,1,3,Hindi,Large-Private,Salaried,0.6,3.1,205088,11263,Bank-Statement,1,1,10339,47.5,46.9,404,34,3,4,8,3100134,1457034,1.5,8,24,16,3,4,7,0,0,0,0,0,1,0,0,0,0,1,19290,19290,1.713,4,216324,105,44020,14855,0.578,1,642351,1,0,695.1,Very Poor,5.0,0.0,10.0,7.104,0.789,0.819,34.1,0,0,0
300038,DSA,Gold,25000,Tier3,KA,Rented,67,1,2,English,Gig,Self-Employed,6.1,6.8999999999999995,4880013,271192,ITR,1,1,276587,70.9,49.2,368,9,4,0,9,1346857,1611289,0.836,162,27,94,1,2,6,0,0,0,0,0,2,1,51736,1,3042,0,0,54778,0.202,1,493027,29,405010,129136,0.424,0,0,1,1,69.1,Very Poor,0.276,0.798,0.276,0.33,0.54,0.536,1.1,0,0,0
300039,DSA,Signature,150000,Tier2,RJ,Owned,108,0,0,Hindi,Large-Private,Salaried,1.6,3.1,2440626,135548,Bank-Statement,1,1,125699,80.2,53.0,537,28,3,3,2,857198,836865,1.024,111,21,66,4,7,10,0,1,0,0,0,0,1,15262,1,2521,0,0,17783,0.131,4,136952,0,0,0,0.0,0,0,1,0,50.6,Very Poor,0.351,0.869,0.351,0.343,0.629,0.424,0.4,0,0,0
300040,Online,Classic,25000,Tier1,RJ,Family-owned,49,0,0,Regional,Self-Employed,Salaried,1.5,1.8,4689224,273436,Form16,1,1,291099,72.9,40.3,441,28,1,4,0,673160,1770801,0.38,232,7,119,2,5,6,0,0,0,1,0,2,0,0,0,0,1,12498,12498,0.046,0,0,0,0,0,0.0,0,0,0,1,484.6,Very Poor,0.144,0.954,0.144,0.378,0.8,0.168,1.1,0,0,0
300041,Pre-approved,Classic,50000,Tier2,MH,Rented,81,0,0,Hindi,Large-Private,Salaried,4.5,5.5,688266,41407,ITR,1,0,47311,57.7,42.0,346,17,3,4,2,2244670,1428678,1.5,113,17,65,3,3,3,0,0,0,0,0,1,1,76091,1,19190,1,23130,118411,2.0,3,141814,0,0,0,0.0,0,0,0,0,379.1,Very Poor,3.261,0.0,3.261,2.076,0.632,0.13,2.6,0,0,0
300042,Pre-approved,Gold,75000,Tier2,UP,Rented,6,1,2,Hindi,SME,Salaried,0.2,1.5999999999999999,4620588,274712,ITR,1,1,288774,75.4,80.2,759,48,1,3,8,4105619,101981,1.5,149,22,85,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,403338,55,264951,125972,0.522,0,0,1,0,338.0,Good,0.889,1.0,0.889,0.022,0.535,0.747,8.9,0,1,500000
300043,Pre-approved,Gold,75000,Tier3,Others,Owned,5,1,2,Hindi,Large-Private,Salaried,1.5,2.4,4263936,245722,ITR,0,1,253024,84.8,41.4,794,48,1,2,3,915388,284713,1.5,139,27,83,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0.0,3,304676,95,316543,244344,0.477,0,0,0,0,777.1,Excellent,0.215,1.0,0.215,0.067,0.829,0.636,4.0,0,0,0
300044,Online,Gold,100000,Tier1,UP,Rented,21,1,4,English,Large-Private,Salaried,2.8,2.8,1073436,69690,Bank-Statement,1,0,6252,64.9,69.6,586,12,6,4,4,1508843,175532,1.5,94,25,59,3,3,7,1,0,1,0,0,1,0,0,0,0,0,0,0,0.0,3,286436,83,377355,202198,0.72,1,100094,0,0,544.4,Poor,1.406,1.0,1.406,0.164,0.475,0.15,0.9,0,1,130000
300045,Online,Platinum,25000,Tier1,DL,Owned,74,1,1,Hindi,Govt,Self-Employed,7.8,7.8999999999999995,2174503,133837,Bank-Statement,1,1,133767,82.3,68.7,596,44,1,2,0,1369889,694509,1.5,139,35,87,3,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4,424696,111,387173,269195,0.914,1,909206,0,1,290.8,Poor,0.63,1.0,0.63,0.319,0.793,0.624,3.3,0,1,45000
300046,Online,Gold,500000,Tier1,RJ,Rented,27,1,3,English,SME,Business-Owner,4.1,5.3999999999999995,4941814,273096,None,1,1,267676,28.7,94.2,583,52,1,4,4,3367108,48888,1.5,213,24,118,2,2,6,1,0,1,0,1,2,0,0,0,0,0,0,0,0.0,2,399553,58,427178,272095,0.894,1,340563,0,0,911.3,Poor,0.681,1.0,0.681,0.01,0.225,0.886,13.2,0,1,290000
300047,Pre-approved,Classic,300000,Tier3,DL,Owned,9,0,0,Hindi,Self-Employed,Business-Owner,1.2,3.3,3356707,214896,CA-Certificate,1,1,228702,76.2,63.1,417,59,2,2,1,3968576,49741,1.5,113,4,58,2,5,5,0,0,0,0,0,1,0,0,1,8979,0,0,8979,0.042,4,271661,0,0,0,0.0,1,215816,0,0,629.4,Very Poor,1.182,0.958,1.182,0.015,0.591,0.326,4.9,0,0,0
300048,Online,Gold,100000,Tier2,Others,Owned,74,0,0,Regional,Large-Private,Salaried,1.6,4.9,2641693,174950,Bank-Statement,0,1,187345,65.3,85.7,406,21,0,4,4,1470147,353017,1.5,79,30,54,4,5,6,0,0,0,0,0,0,1,67998,0,0,1,15364,83362,0.476,0,0,0,0,0,0.0,0,0,0,0,928.9,Very Poor,0.557,0.524,0.557,0.134,0.95,0.263,22.5,0,1,175000
300049,DSA,Classic,75000,Tier2,WB,Family-owned,111,1,3,Hindi,Self-Employed,Salaried,12.7,13.299999999999999,1278537,80816,ITR,1,1,73865,61.6,81.9,724,21,5,4,2,2130921,384834,1.5,69,25,47,0,0,2,0,1,0,0,1,0,0,0,1,14456,0,0,14456,0.179,3,141638,22,86083,32769,0.69,1,60491,0,0,923.2,Good,1.667,0.821,1.667,0.301,0.959,0.846,5.2,0,1,10000
300050,Online,Classic,50000,Tier2,AP,Rented,113,1,3,Regional,Large-Private,Self-Employed,2.1,3.3,2628079,167017,Form16,1,1,178191,56.0,53.3,688,26,3,2,2,1518319,692911,1.5,16,27,21,3,4,5,0,1,0,0,0,0,1,76494,1,22425,0,0,98919,0.592,3,246886,8,66510,27536,0.949,0,0,1,0,751.5,Fair,0.578,0.408,0.578,0.264,0.89,0.522,2.8,0,0,0
300051,Pre-approved,Gold,50000,Tier2,AP,Owned,37,1,3,Regional,Govt,Salaried,1.1,2.0,1349590,89444,Form16,0,0,49879,69.6,62.5,769,26,1,2,0,3085424,1072849,1.5,154,15,84,4,4,4,0,0,0,0,0,0,0,0,1,5443,0,0,5443,0.061,2,12165,38,178771,57357,0.7,0,0,0,1,692.8,Good,2.286,0.939,2.286,0.795,0.425,0.455,33.0,1,1,75000
300052,Branch,Classic,75000,Tier2,MH,Rented,61,1,1,Hindi,Large-Private,Salaried,11.1,12.1,1424299,81957,Form16,1,1,85352,76.7,28.5,707,9,7,1,9,642632,233362,1.5,141,7,74,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,278156,82,307418,181658,0.356,0,0,0,0,949.0,Fair,0.451,1.0,0.451,0.164,0.847,0.904,11.7,0,1,185000
300053,Pre-approved,Classic,25000,Tier3,AP,Owned,56,0,0,English,Govt,Salaried,4.0,9.1,4459850,282113,Form16,1,1,277112,93.4,73.1,655,42,1,4,9,3175032,746042,1.5,120,6,63,3,5,5,0,0,0,0,0,1,1,47385,1,2946,0,0,50331,0.178,3,403902,0,0,0,0.0,0,0,0,0,269.0,Fair,0.712,0.822,0.712,0.167,0.559,0.459,5.5,1,0,0
300054,Branch,Signature,75000,Tier1,MH,Rented,53,1,4,English,Gig,Salaried,1.3,4.2,3959931,222517,Form16,1,1,210099,80.2,92.3,819,45,1,0,7,3398961,771087,1.5,235,32,133,2,3,6,1,0,0,0,0,0,0,0,1,3470,1,11413,14883,0.067,2,365193,58,209841,90741,0.385,1,609558,0,0,259.7,Excellent,0.858,0.933,0.858,0.195,0.129,0.796,19.4,0,0,0
300055,Online,Gold,75000,Tier2,TN,Company-provided,97,1,1,Hindi,SME,Business-Owner,2.4,4.3,4881829,293284,ITR,1,1,319334,72.3,53.1,813,44,0,3,1,4194736,953613,1.5,220,4,112,1,4,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,3,451265,75,110949,53568,0.622,0,0,0,0,797.3,Excellent,0.859,1.0,0.859,0.195,0.672,0.779,0.4,0,1,90000
300056,Branch,Platinum,100000,Tier2,MH,Owned,27,0,0,English,PSU,Self-Employed,0.2,0.8999999999999999,3038489,189122,Bank-Statement,1,1,196868,70.5,60.9,807,35,3,3,1,2240889,965868,1.5,94,1,47,3,6,10,0,0,0,0,0,2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,1,392086,0,0,152.1,Excellent,0.738,1.0,0.738,0.318,0.907,0.225,10.2,0,1,345000
300057,Online,Classic,300000,Tier2,UP,Family-owned,119,1,4,Regional,Large-Private,Salaried,1.1,3.3000000000000003,4115098,233862,Form16,1,1,238357,78.9,41.8,786,13,4,3,9,4393783,217924,1.5,118,33,75,3,6,8,0,0,0,0,0,2,0,0,0,0,1,20885,20885,0.089,0,0,43,1092,796,0.57,1,656988,0,0,273.2,Excellent,1.068,0.911,1.068,0.053,0.677,0.537,14.1,0,1,85000
300058,DSA,Platinum,75000,Tier2,Others,Owned,33,0,0,Regional,Self-Employed,Salaried,7.2,8.5,4707801,278637,Form16,1,1,256835,92.7,73.5,481,17,5,2,3,3888556,220312,1.5,221,3,112,2,6,10,0,0,0,0,0,2,0,0,1,18851,0,0,18851,0.068,0,0,0,0,0,0.0,1,506768,0,0,68.9,Very Poor,0.826,0.932,0.826,0.047,0.634,0.097,13.0,0,0,0
300059,Online,Platinum,150000,Tier3,KA,Owned,60,1,2,Hindi,PSU,Salaried,0.2,1.0,748586,49290,Form16,1,1,51109,78.8,41.3,811,34,4,2,4,3135459,1066945,1.5,190,30,110,0,2,4,0,0,0,0,0,1,0,0,1,2598,0,0,2598,0.053,4,141820,12,347678,179256,0.695,0,0,0,0,10.2,Excellent,4.189,0.947,4.189,1.425,0.796,0.818,16.8,0,1,20000
